,Pass-Simple pass-accurate,Pass-High pass-accurate,Pass-Head pass-accurate,Pass-Simple pass-not accurate,Duel-Air duel-accurate,Duel-Air duel-not accurate,Pass-High pass-not accurate,Pass-Head pass-not accurate,Duel-Ground loose ball duel-not accurate,Duel-Ground attacking duel-accurate,Free Kick-Free Kick-accurate,Pass-Cross-assist,Pass-Cross-accurate,Shot-Shot-accurate,Duel-Ground loose ball duel-accurate,Duel-Ground defending duel-accurate,Others on the ball-Clearance-not accurate,Duel-Ground defending duel-not accurate,Others on the ball-Touch-interception,Duel-Ground attacking duel-not accurate,Others on the ball-Acceleration-accurate,Shot-Shot-not accurate,Free Kick-Corner-accurate,Foul,Free Kick-Throw in-accurate,Free Kick-Throw in-not accurate,Others on the ball-Touch,Pass-Cross-not accurate,Pass-Smart pass-accurate,Pass-Cross-key pass,Pass-Smart pass-not accurate,Free Kick-Corner-not accurate,Others on the ball-Clearance-accurate,Others on the ball-Touch-missed ball,Pass-Simple pass-assist,Pass-Launch-accurate,Pass-Smart pass-key pass,Pass-Simple pass-key pass,Pass-Launch-not accurate,Free Kick-Free Kick-not accurate,Pass-Head pass-assist,Others on the ball-Touch-counter attack,Free Kick-Free kick cross-accurate,Foul-yellow card,Others on the ball-Touch-opportunity,Others on the ball-Touch-feint,Free Kick-Free kick shot-accurate,Pass-High pass-key pass,Free Kick-Free kick shot-not accurate,Pass-Smart pass-assist,Free Kick-Free kick cross-not accurate,Others on the ball-Clearance,Others on the ball-Acceleration-not accurate,Free Kick-Goal kick,Others on the ball-Touch-dangerous ball lost,Foul-red card,Foul-second yellow card,Pass-Head pass-key pass,Free Kick-Penalty,Free Kick-Penalty-not accurate,Pass-High pass-assist,Pass-Hand pass-accurate,goal-scored
0,337.0,9.0,1.0,34.0,-6.0,6.0,3.0,-1.0,-9.0,23.0,9.0,0.0,0.0,6.0,8.0,6.0,-2.0,-23.0,-11.0,-6.0,6.0,14.0,3.0,-2.0,-9.0,-1.0,12.0,2.0,0.0,1.0,-5.0,2.0,-1.0,-2.0,2.0,-2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-337.0,-9.0,-1.0,-34.0,6.0,-6.0,-3.0,1.0,9.0,-23.0,-9.0,0.0,0.0,-6.0,-8.0,-6.0,2.0,23.0,11.0,6.0,-6.0,-14.0,-3.0,2.0,9.0,1.0,-12.0,-2.0,0.0,-1.0,5.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2,521.0,11.0,5.0,2.0,10.0,-10.0,-5.0,1.0,-2.0,9.0,4.0,0.0,6.0,1.0,3.0,-8.0,-13.0,-9.0,-11.0,8.0,9.0,5.0,7.0,1.0,1.0,-2.0,6.0,13.0,8.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,-521.0,-11.0,-5.0,-2.0,-10.0,10.0,5.0,-1.0,2.0,-9.0,-4.0,0.0,-6.0,-1.0,-3.0,8.0,13.0,9.0,11.0,-8.0,-9.0,-5.0,-7.0,-1.0,-1.0,2.0,-6.0,-13.0,-8.0,0.0,-7.0,0.0,8.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
4,-174.0,-14.0,3.0,5.0,5.0,-7.0,-5.0,-1.0,-5.0,-22.0,-3.0,1.0,-6.0,0.0,5.0,8.0,12.0,13.0,8.0,1.0,0.0,-6.0,-4.0,-4.0,-6.0,0.0,-30.0,-11.0,-3.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,174.0,14.0,-3.0,-5.0,-5.0,7.0,5.0,1.0,5.0,22.0,3.0,-1.0,6.0,0.0,-5.0,-8.0,-12.0,-13.0,-8.0,-1.0,0.0,6.0,4.0,4.0,6.0,0.0,30.0,11.0,3.0,0.0,-1.0,-1.0,0.0,-3.0,0.0,2.0,0.0,0.0,-3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
6,88.0,6.0,-8.0,2.0,8.0,-8.0,-1.0,-5.0,2.0,55.0,8.0,0.0,-2.0,-3.0,-2.0,-11.0,-13.0,-48.0,-5.0,4.0,-2.0,6.0,0.0,-10.0,-11.0,1.0,1.0,5.0,1.0,0.0,2.0,3.0,-5.0,0.0,0.0,3.0,0.0,0.0,-4.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
7,-88.0,-6.0,8.0,-2.0,-8.0,8.0,1.0,5.0,-2.0,-55.0,-8.0,1.0,2.0,3.0,2.0,11.0,13.0,48.0,5.0,-4.0,2.0,-6.0,0.0,10.0,11.0,-1.0,-1.0,-5.0,-1.0,0.0,-2.0,-3.0,5.0,0.0,1.0,-3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,-193.0,4.0,-4.0,-15.0,13.0,-10.0,-3.0,-2.0,0.0,20.0,-3.0,0.0,-4.0,-2.0,0.0,-9.0,-5.0,-17.0,5.0,6.0,2.0,4.0,-3.0,-3.0,0.0,3.0,-9.0,6.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
9,193.0,-4.0,4.0,15.0,-13.0,10.0,3.0,2.0,0.0,-20.0,3.0,1.0,4.0,2.0,0.0,9.0,5.0,17.0,-5.0,-6.0,-2.0,-4.0,3.0,3.0,0.0,-3.0,9.0,-6.0,-1.0,2.0,0.0,-4.0,-3.0,0.0,0.0,3.0,1.0,0.0,0.0,-2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
