Pass-Simple pass-accurate,Pass-High pass-accurate,Pass-Head pass-accurate,Pass-Simple pass-not accurate,Duel-Air duel-accurate,Duel-Air duel-not accurate,Pass-High pass-not accurate,Pass-Head pass-not accurate,Duel-Ground loose ball duel-not accurate,Duel-Ground attacking duel-accurate,Free Kick-Free Kick-accurate,Pass-Cross-assist,Pass-Cross-accurate,Shot-Shot-accurate,Duel-Ground loose ball duel-accurate,Duel-Ground defending duel-accurate,Others on the ball-Clearance-not accurate,Duel-Ground defending duel-not accurate,Others on the ball-Touch-interception,Duel-Ground attacking duel-not accurate,Others on the ball-Acceleration-accurate,Shot-Shot-not accurate,Free Kick-Corner-accurate,Foul,Free Kick-Throw in-accurate,Free Kick-Throw in-not accurate,Others on the ball-Touch,Pass-Cross-not accurate,Pass-Smart pass-accurate,Pass-Cross-key pass,Pass-Smart pass-not accurate,Free Kick-Corner-not accurate,Others on the ball-Clearance-accurate,Others on the ball-Touch-missed ball,Pass-Simple pass-assist,Pass-Launch-accurate,Pass-Smart pass-key pass,Pass-Simple pass-key pass,Pass-Launch-not accurate,Free Kick-Free Kick-not accurate,Pass-Head pass-assist,Others on the ball-Touch-counter attack,Free Kick-Free kick cross-accurate,Foul-yellow card,Others on the ball-Touch-opportunity,Others on the ball-Touch-feint,Free Kick-Free kick shot-accurate,Pass-High pass-key pass,Free Kick-Free kick shot-not accurate,Pass-Smart pass-assist,Free Kick-Free kick cross-not accurate,Others on the ball-Clearance,Others on the ball-Acceleration-not accurate,Free Kick-Goal kick,Others on the ball-Touch-dangerous ball lost,Foul-red card,Foul-second yellow card,Pass-Head pass-key pass,Free Kick-Penalty,Free Kick-Penalty-not accurate,Pass-High pass-assist,Pass-Hand pass-accurate,w-dl
337,9,1,34,-6,6,3,-1,-9,23,9,0,0,6,8,6,-2,-23,-11,-6,6,14,3,-2,-9,-1,12,2,0,1,-5,2,-1,-2,2,-2,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-337,-9,-1,-34,6,-6,-3,1,9,-23,-9,0,0,-6,-8,-6,2,23,11,6,-6,-14,-3,2,9,1,-12,-2,0,-1,5,0,1,2,0,2,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
521,11,5,2,10,-10,-5,1,-2,9,4,0,6,1,3,-8,-13,-9,-11,8,9,5,7,1,1,-2,6,13,8,0,7,0,0,5,0,0,1,0,0,-1,0,1,0,2,5,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
-521,-11,-5,-2,-10,10,5,-1,2,-9,-4,0,-6,-1,-3,8,13,9,11,-8,-9,-5,-7,-1,-1,2,-6,-13,-8,0,-7,0,8,-5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,-1
-174,-14,3,5,5,-7,-5,-1,-5,-22,-3,1,-6,0,5,8,12,13,8,1,0,-6,-4,-4,-6,0,-30,-11,-3,0,1,1,3,3,0,0,0,0,3,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
174,14,-3,-5,-5,7,5,1,5,22,3,-1,6,0,-5,-8,-12,-13,-8,-1,0,6,4,4,6,0,30,11,3,0,-1,-1,0,-3,0,2,0,0,-3,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-1
88,6,-8,2,8,-8,-1,-5,2,55,8,0,-2,-3,-2,-11,-13,-48,-5,4,-2,6,0,-10,-11,1,1,5,1,0,2,3,-5,0,0,3,0,0,-4,0,0,0,2,-2,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
-88,-6,8,-2,-8,8,1,5,-2,-55,-8,1,2,3,2,11,13,48,5,-4,2,-6,0,10,11,-1,-1,-5,-1,0,-2,-3,5,0,1,-3,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
-193,4,-4,-15,13,-10,-3,-2,0,20,-3,0,-4,-2,0,-9,-5,-17,5,6,2,4,-3,-3,0,3,-9,6,1,0,0,4,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1
193,-4,4,15,-13,10,3,2,0,-20,3,1,4,2,0,9,5,17,-5,-6,-2,-4,3,3,0,-3,9,-6,-1,2,0,-4,-3,0,0,3,1,0,0,-2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
